longitude,latitude
78.37,32.98
78.41,33.05
75.77,34.43
77.25,32.97
77.61,34.22
77.5,33.78
78.37,33.05
77.63,34.13
77.62,34.24
77.67,34.0
77.8,33.97
77.88,34.02
76.72,33.63
78.34,32.64
76.7,34.54
75.97,34.3
74.75,34.17
77.7,35.03
77.22,32.72
75.7,34.47
80.12,30.43
78.26,33.34
77.48,33.58
77.2,32.42
78.23,33.22
78.33,33.05
78.3,33.2
77.4,34.03
78.18,34.03
78.2,32.8
77.97,34.17
76.84,34.46
77.54,34.08
76.52,34.6
76.71,34.55
75.47,34.27
77.33,34.67
78.42,33.05
77.92,33.05
77.89,33.23
77.68,34.0
77.95,33.27
76.28,33.02
75.98,34.55
78.38,32.98
77.98,33.24
78.23,33.21
78.28,31.6
78.34,32.98
78.38,33.05
74.67,34.68
77.53,33.48
77.91,33.76
77.63,34.58
75.33,33.87
78.25,33.12
78.27,33.37
77.17,32.77
77.13,31.97
80.13,30.43
76.93,33.52
77.88,33.26
77.87,33.12
77.2,32.63
78.24,33.13
78.33,33.01
78.35,33.17
78.08,33.28
77.55,34.08
77.54,34.04
80.22,30.33
77.35,34.03
77.2,33.31
77.52,33.52
77.52,33.77
78.34,33.14
77.92,33.4
77.65,34.28
78.2,33.44
78.22,33.19
76.81,34.42
75.33,34.03
78.01,33.23
78.38,32.83
78.03,33.23
77.67,35.02
77.6,34.22
77.82,33.47
78.28,33.08
78.28,33.33
78.07,33.3
77.58,34.17
76.81,34.43
78.0,33.48
76.69,34.54
78.18,33.15
78.01,33.5
78.47,31.77
77.82,33.58
77.82,33.83
78.32,32.78
77.17,34.25
78.43,33.04
77.66,33.23
78.58,31.9
78.32,33.1
77.15,34.2
77.93,33.04
78.18,33.27
76.0,34.53
76.82,34.44
77.63,32.92
77.6,33.03
78.02,33.51
77.15,33.24
78.93,30.97
75.3,34.3
76.83,33.58
77.42,34.75
78.06,33.24
77.65,34.13
75.52,34.08
77.6,34.21
77.99,33.22
77.93,33.27
78.08,32.53
77.58,34.15
78.3,33.22
76.67,32.83
78.42,31.73
78.42,31.58
79.12,34.42
77.66,34.14
80.47,30.33
77.12,34.22
78.26,33.12
77.77,33.52
77.99,33.23
77.45,33.26
76.6,34.25
78.36,32.98
78.36,33.05
75.77,34.45
74.82,34.08
78.32,32.63
77.61,34.24
77.86,33.55
77.1,32.48
77.02,32.65
78.28,32.88
75.33,34.5
77.98,32.48
77.73,33.37
78.38,32.8
77.97,33.25
77.51,33.8
78.32,33.05
77.23,33.07
78.3,33.21
77.33,35.03
78.38,32.67
77.67,34.03
75.95,35.23
77.5,34.88
77.5,34.87
76.5,34.65
78.07,30.43
78.41,32.88
78.41,32.87
78.02,33.22
77.57,33.42
78.4,32.99
77.62,34.22
78.4,33.05
78.32,32.75
77.0,33.0
76.37,33.1
78.3,33.07
78.41,32.99
77.05,32.55
76.92,33.98
75.42,33.65
78.08,31.52
77.25,32.37
76.08,34.33
76.02,32.53
77.02,32.5
76.42,33.08
75.43,34.25
75.22,33.52
76.5,33.43
77.37,32.75
78.62,31.88
77.17,32.58
76.9,33.53
77.08,33.67
77.0,32.58
77.5,34.83
77.15,31.12
75.68,34.4
77.13,32.82
76.863961,11.421731
78.6,30.77
92.15,21.58
78.033922,30.324427
78.504482,29.351126
79.6162,22.88348
91.927223,25.67697
78.047337,30.470951
79.805691,11.987607
76.88,34.3
76.1,34.57
75.48,34.28
76.8,34.32
77.08,33.9
76.78,34.27
76.83,34.25
76.76,34.38
76.33,33.05
76.37,34.38
77.18,34.22
77.1,34.3
75.93,34.5
77.55,34.75
76.78,34.22
77.73,33.65
78.29,33.23
76.66,34.52
76.58,34.1
75.6,34.37
76.97,34.32
78.26,32.96
77.67,34.4
77.79,33.43
78.27,33.38
78.04,33.16
77.8,33.59
78.02,33.65
77.63,33.22
77.99,33.35
78.29,33.11
78.27,33.23
77.27,34.68
80.15,30.4
77.72,34.33
76.82,34.45
77.6,34.2
77.78,33.45
78.55,31.85
78.33,31.63
76.92,34.28
78.37,33.24
80.18,30.32
77.46,33.24
78.33,33.28
77.72,33.33
77.16,33.2
80.2,30.33
76.68,34.53
76.72,34.28
76.64,34.51
